,xgb,lgb,cb,rf
RIDAGEYR,0.0334806889295578,1806.0,0.19962514640152876,0.07923063407683004
RIAGENDR,0.004670730326324701,53.0,0.0065873742855672435,0.0009969449904130177
RIDRETH3,0.002750198356807232,284.0,0.2119098509148817,0.002883315456051418
INDFMPIR,0.0013934370363131166,339.0,0.29450541537368213,0.00509946506946106
DIQ010,0.7235007882118225,271.0,93.70536807215568,0.7114943798878658
DIQ160,0.07198819518089294,227.0,0.1805813659625299,0.026727712063060707
BPQ020,0.09936919808387756,414.0,0.10945515561744149,0.040865738063670096
BPQ030,0.0032714607659727335,242.0,0.17582117465717154,0.028298274187738566
BMXBMI,0.002976808464154601,542.0,0.2664534508249247,0.01274904348887014
BMXWAIST,0.00987765658646822,1960.0,0.11390584075527924,0.0250641279778285
BMXHT,0.002133225090801716,172.0,0.052358500786254536,0.00587364431204645
BMXWT,0.004299574997276068,297.0,0.15935569243031472,0.01037748605610836
DR1TKCAL,0.0032618604600429535,171.0,0.6891662794050665,0.004536507394013523
DR1TPROT,0.003224080428481102,97.0,0.9243998830225825,0.004293558988722297
DR1TCARB,0.0027734532486647367,208.0,0.6035949051191295,0.0058828982318177665
DR1TSUGR,0.00370838213711977,895.0,0.5438141661608612,0.008175865938648368
DR1TFIBE,0.0027426567394286394,173.0,0.434695626603614,0.004979694774877882
DR1TTFAT,0.0021705871913582087,138.0,0.4723098415366943,0.0046044814989241786
SLD012,0.0034125603269785643,96.0,0.2705804302031554,0.003679663316262063
SLD013,0.0027183620259165764,91.0,0.2016979045680686,0.0037232288889149285
PAQ605,0.0,15.0,0.08456182640120995,0.000597101904697022
PAQ620,0.002846138086169958,33.0,0.059509201750444586,0.0010399636119951493
PAQ650,0.008436933159828186,168.0,0.14757726892706496,0.00751605207230074
PAQ665,0.0049929749220609665,35.0,0.09216562613684243,0.00131021774888185
